Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 13,Area Sample 13,#Peptides,#Unique,#Spec Sample 13,PTM,Avg. Mass,Description
1,53539,Pr55(Gag),408.84,75,75,2.0889E9,98,98,167,Carbamidomethylation; Oxidation (M),55930,Pr55(Gag)
3,5,A0A7E5VKL6,366.32,52,52,3.5769E7,100,100,102,Carbamidomethylation,279169,spectrin alpha chain isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
3,4,A0A7E5VKP2,366.32,52,52,3.5769E7,100,100,102,Carbamidomethylation,276449,spectrin alpha chain isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
3,6,A0A7E5VKJ4,366.32,52,52,3.5769E7,100,100,102,Carbamidomethylation,277410,spectrin alpha chain isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
3,7,A0A7E5VKL0,366.32,52,52,3.5769E7,100,100,102,Carbamidomethylation,278208,spectrin alpha chain isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
2,53540,P03452,355.96,56,56,1.1109E9,67,67,115,Carbamidomethylation; Oxidation (M),63353,Hemagglutinin OS=Influenza A virus (strain A/Puerto Rico/8/1934 H1N1) OX=211044 GN=HA PE=1 SV=2
5,9,A0A7E5VJS8,353.48,43,43,4.5435E7,94,94,97,Carbamidomethylation,327712,protein 4.1 homolog isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
5,10,A0A7E5VJS5,353.48,43,43,4.5435E7,94,94,97,Carbamidomethylation,328227,protein 4.1 homolog isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
4,22,A0A7E5WZP3,322.31,30,30,2.1436E7,95,95,97,Carbamidomethylation,471182,spectrin beta chain  non-erythrocytic 1 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
6,159487,P17499.1,317.52,73,73,4.9863E8,41,41,77,Carbamidomethylation; Oxidation (M),38951,RecName: Full=Major capsid protein
13,159477,P41428.1,312.71,52,52,1.296E8,39,39,43,Carbamidomethylation; Oxidation (M),79857,RecName: Full=Protein AC23; AltName: Full=ORF 9; Flags: Precursor
7,159478,P17501.2,308.58,47,47,5.6611E8,31,31,76,Carbamidomethylation; Oxidation (M),58567,RecName: Full=Major envelope glycoprotein; AltName: Full=gp64; Flags: Precursor
15,2,A0A7E5WSW3,305.78,53,53,3.5672E7,40,40,42,Carbamidomethylation,94606,translation elongation factor 2-like OS=Trichoplusia ni OX=7111 GN=LOC113505410 PE=3 SV=1
12,53,A0A7E5VJV7,303.44,74,74,2.1611E6,35,3,44,Carbamidomethylation; Oxidation (M),50214,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113494444 PE=3 SV=1
17,14,A0A7E5VSK5,301.45,56,56,8.2162E7,36,36,41,Carbamidomethylation,83201,Heat shock protein 83 OS=Trichoplusia ni OX=7111 GN=LOC113496266 PE=3 SV=1
19,159483,Q04719.2,300.70,62,62,6.8824E7,36,36,38,Carbamidomethylation,52636,RecName: Full=Early 53 kDa protein; AltName: Full=ME-53
21,55,A9XXA7,298.51,62,62,1.0796E8,29,29,35,Carbamidomethylation; Oxidation (M),50363,Elongation factor 1-alpha OS=Trichoplusia ni OX=7111 GN=LOC113501794 PE=2 SV=1
16,54,A0A7E5VK44,297.75,73,73,1.0622E5,33,1,42,Carbamidomethylation; Oxidation (M),50419,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113494443 PE=3 SV=1
27,159493,P41467.1,296.70,47,47,4.1098E7,32,32,33,,93973,RecName: Full=Protein Ac66
11,37,G0ZL66,295.53,69,69,2.5286E6,35,1,45,Carbamidomethylation; Oxidation (M),41833,Actin OS=Trichoplusia ni OX=7111 GN=LOC113506179 PE=2 SV=1
10,34,A0A451FUM5,294.60,69,69,8.2604E5,36,2,46,Carbamidomethylation; Oxidation (M),41822,Actin OS=Trichoplusia ni OX=7111 GN=LOC113507353 PE=2 SV=1
18,1,A0A7E5WY23,294.02,61,61,8.7285E7,35,32,40,Carbamidomethylation; Oxidation (M),71637,Heat shock protein 70 OS=Trichoplusia ni OX=7111 GN=LOC113506423 PE=2 SV=1
28,27,A0A2H4WW89,292.80,76,76,8.6389E7,31,31,33,Carbamidomethylation,49937,Tubulin alpha chain OS=Trichoplusia ni OX=7111 GN=LOC113498276 PE=2 SV=1
9,45,A0A7E5VAS2,290.90,30,30,1.1654E7,47,47,47,Carbamidomethylation,225303,myosin heavy chain  non-muscle isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113492215 PE=3 SV=1
8,32,A0A7E5W0P0,287.77,32,32,8.2148E6,51,51,51,Carbamidomethylation,256130,fatty acid synthase isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113498344 PE=4 SV=1
37,29,A0A7E5WMD6,279.53,66,66,8.5389E7,29,29,29,Carbamidomethylation,51395,synaptic vesicle membrane protein VAT-1 homolog-like isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113503902 PE=3 SV=1
