Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 6,Area Sample 6,#Peptides,#Unique,#Spec Sample 6,PTM,Avg. Mass,Description
1,53539,Pr55(Gag),483.96,75,75,1.279E10,133,133,269,Carbamidomethylation; Oxidation (M),55930,Pr55(Gag)
3,12,A0A7E5VJT9,459.06,54,54,2.4382E8,128,128,137,Carbamidomethylation,328099,protein 4.1 homolog isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
2,53540,P03452,405.08,60,60,3.9823E9,83,83,157,Carbamidomethylation; Oxidation (M),63353,Hemagglutinin OS=Influenza A virus (strain A/Puerto Rico/8/1934 H1N1) OX=211044 GN=HA PE=1 SV=2
6,4,A0A7E5VKP2,402.39,41,41,3.9092E7,74,74,75,Carbamidomethylation,276449,spectrin alpha chain isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
6,5,A0A7E5VKL6,402.39,41,41,3.9092E7,74,74,75,Carbamidomethylation,279169,spectrin alpha chain isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
6,6,A0A7E5VKJ4,402.39,41,41,3.9092E7,74,74,75,Carbamidomethylation,277410,spectrin alpha chain isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
6,7,A0A7E5VKL0,402.39,41,41,3.9092E7,74,74,75,Carbamidomethylation,278208,spectrin alpha chain isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
9,44,A0A7E5W4D4,379.90,80,80,6.2022E8,40,40,54,Carbamidomethylation,46854,2-phospho-D-glycerate hydro-lyase OS=Trichoplusia ni OX=7111 GN=LOC113499004 PE=3 SV=1
7,2,A0A7E5WSW3,379.32,71,71,1.5924E8,54,54,58,Carbamidomethylation,94606,translation elongation factor 2-like OS=Trichoplusia ni OX=7111 GN=LOC113505410 PE=3 SV=1
15,55,A9XXA7,378.28,65,65,5.7951E8,38,38,46,Carbamidomethylation; Oxidation (M),50363,Elongation factor 1-alpha OS=Trichoplusia ni OX=7111 GN=LOC113501794 PE=2 SV=1
12,35,A0A7E5W6G7,376.46,72,72,2.1551E8,46,46,49,Carbamidomethylation,66724,transketolase-like protein 2 OS=Trichoplusia ni OX=7111 GN=LOC113499721 PE=4 SV=1
5,24,A0A7E5X0D5,370.23,26,26,3.2516E7,85,85,85,Carbamidomethylation,458636,spectrin beta chain  non-erythrocytic 1 isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
5,23,A0A7E5X0H7,370.23,25,25,3.2516E7,85,85,85,Carbamidomethylation,471110,spectrin beta chain  non-erythrocytic 1 isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
5,22,A0A7E5WZP3,370.23,25,25,3.2516E7,85,85,85,Carbamidomethylation,471182,spectrin beta chain  non-erythrocytic 1 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
8,32,A0A7E5W0P0,364.15,34,34,3.4832E7,56,56,57,Carbamidomethylation,256130,fatty acid synthase isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113498344 PE=4 SV=1
10,1,A0A7E5WY23,363.13,64,64,3.2703E8,44,41,50,Carbamidomethylation,71637,Heat shock protein 70 OS=Trichoplusia ni OX=7111 GN=LOC113506423 PE=2 SV=1
18,36,A0A7E5VWF1,362.74,38,38,4.823E7,41,27,42,Carbamidomethylation,169011,multidrug resistance-associated protein 1 OS=Trichoplusia ni OX=7111 GN=LOC113497341 PE=3 SV=1
29,27,A0A2H4WW89,355.55,81,81,2.2308E8,35,35,37,Carbamidomethylation,49937,Tubulin alpha chain OS=Trichoplusia ni OX=7111 GN=LOC113498276 PE=2 SV=1
4,397,A0A7E5WAQ5,347.96,72,72,2.5243E9,39,37,93,Carbamidomethylation; Oxidation (M),17757,Peptidyl-prolyl cis-trans isomerase OS=Trichoplusia ni OX=7111 GN=LOC113500627 PE=3 SV=1
13,45,A0A7E5VAS2,345.95,30,30,2.0376E7,46,46,46,Carbamidomethylation,225303,myosin heavy chain  non-muscle isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113492215 PE=3 SV=1
14,42,A0A7E5VGG8,343.18,37,37,3.8893E7,44,41,46,Carbamidomethylation,155126,multidrug resistance-associated protein 4-like OS=Trichoplusia ni OX=7111 GN=LOC113493562 PE=4 SV=1
23,53,A0A7E5VJV7,343.12,76,76,4.271E6,34,4,40,Carbamidomethylation; Oxidation (M),50214,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113494444 PE=3 SV=1
26,388,A0A7E5VJE9,343.09,74,74,1.8209E8,35,35,38,Carbamidomethylation,61694,Glucose-6-phosphate isomerase OS=Trichoplusia ni OX=7111 GN=LOC113494316 PE=3 SV=1
17,14,A0A7E5VSK5,337.83,59,59,2.3838E8,37,37,45,Carbamidomethylation,83201,Heat shock protein 83 OS=Trichoplusia ni OX=7111 GN=LOC113496266 PE=3 SV=1
40,3,A0A7E5VKR1,336.49,72,72,1.066E8,27,27,30,Carbamidomethylation,55154,Vacuolar proton pump subunit B OS=Trichoplusia ni OX=7111 GN=LOC113494681 PE=3 SV=1
28,54,A0A7E5VK44,334.57,75,75,1.302E5,31,1,37,Carbamidomethylation; Oxidation (M),50419,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113494443 PE=3 SV=1
