Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 2,Area Sample 2,#Peptides,#Unique,#Spec Sample 2,PTM,Avg. Mass,Description
1,53539,Pr55(Gag),408.26,73,73,1.2398E9,64,64,90,Carbamidomethylation; Oxidation (M),55930,Pr55(Gag)
2,32,A0A7E5W0P0,399.88,45,45,6.1317E7,82,82,84,Carbamidomethylation,256130,fatty acid synthase isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113498344 PE=4 SV=1
5,2,A0A7E5WSW3,395.22,71,71,2.8008E8,61,61,68,Carbamidomethylation; Oxidation (M),94606,translation elongation factor 2-like OS=Trichoplusia ni OX=7111 GN=LOC113505410 PE=3 SV=1
3,1,A0A7E5WY23,384.42,67,67,4.6378E8,46,35,72,Carbamidomethylation; Oxidation (M),71637,Heat shock protein 70 OS=Trichoplusia ni OX=7111 GN=LOC113506423 PE=2 SV=1
8,35,A0A7E5W6G7,383.24,74,74,1.5843E8,52,52,54,Carbamidomethylation,66724,transketolase-like protein 2 OS=Trichoplusia ni OX=7111 GN=LOC113499721 PE=4 SV=1
7,55,A9XXA7,376.34,64,64,6.7294E8,47,47,58,Carbamidomethylation; Oxidation (M),50363,Elongation factor 1-alpha OS=Trichoplusia ni OX=7111 GN=LOC113501794 PE=2 SV=1
11,100,A0A7E5VDK5,375.99,61,61,5.3806E7,49,49,52,Carbamidomethylation,123382,LOW QUALITY PROTEIN: importin-5-like OS=Trichoplusia ni OX=7111 GN=LOC113492859 PE=4 SV=1
12,98,A0A7E5WEQ8,368.94,64,64,6.9882E7,49,49,51,Carbamidomethylation,117168,Ubiquitin-activating enzyme E1 OS=Trichoplusia ni OX=7111 GN=LOC113501820 PE=3 SV=1
4,5,A0A7E5VKL6,366.89,38,38,2.0467E7,70,70,70,Carbamidomethylation,279169,spectrin alpha chain isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
4,4,A0A7E5VKP2,366.89,38,38,2.0467E7,70,70,70,Carbamidomethylation,276449,spectrin alpha chain isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
4,6,A0A7E5VKJ4,366.89,38,38,2.0467E7,70,70,70,Carbamidomethylation,277410,spectrin alpha chain isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
4,7,A0A7E5VKL0,366.89,38,38,2.0467E7,70,70,70,Carbamidomethylation,278208,spectrin alpha chain isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
9,14,A0A7E5VSK5,364.81,62,62,3.0522E8,45,42,53,Carbamidomethylation; Oxidation (M),83201,Heat shock protein 83 OS=Trichoplusia ni OX=7111 GN=LOC113496266 PE=3 SV=1
6,53540,P03452,349.97,51,51,4.9392E8,49,49,64,Carbamidomethylation; Oxidation (M),63353,Hemagglutinin OS=Influenza A virus (strain A/Puerto Rico/8/1934 H1N1) OX=211044 GN=HA PE=1 SV=2
21,27,A0A2H4WW89,346.24,78,78,2.8632E8,36,36,42,Carbamidomethylation,49937,Tubulin alpha chain OS=Trichoplusia ni OX=7111 GN=LOC113498276 PE=2 SV=1
16,165965,P18569.1,345.84,70,70,1.9974E8,40,40,48,Carbamidomethylation; Oxidation (M),57033,RecName: Full=Ecdysteroid UDP-glucosyltransferase; Flags: Precursor
15,53,A0A7E5VJV7,344.78,76,76,5.3328E6,39,4,48,Carbamidomethylation; Oxidation (M),50214,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113494444 PE=3 SV=1
13,45,A0A7E5VAS2,339.94,32,32,1.9319E7,49,49,50,Carbamidomethylation,225303,myosin heavy chain  non-muscle isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113492215 PE=3 SV=1
27,159482,P32651.2,337.33,68,68,7.0274E7,32,32,36,Carbamidomethylation,45382,RecName: Full=Structural glycoprotein gp41
19,54,A0A7E5VK44,336.97,75,75,1.7093E5,36,1,45,Carbamidomethylation; Oxidation (M),50419,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113494443 PE=3 SV=1
20,57,A0A7E5WSU8,332.81,61,61,4.7389E7,40,40,43,Carbamidomethylation; Oxidation (M),89174,Vesicle-fusing ATPase OS=Trichoplusia ni OX=7111 GN=LOC113505390 PE=4 SV=1
81,449,A0A7E5X2Y6,329.37,27,27,1.8189E7,23,23,23,Carbamidomethylation,192820,microtubule-associated protein 1A-like OS=Trichoplusia ni OX=7111 GN=LOC113508695 PE=3 SV=1
92,13350,A0A7E5VRD3,328.34,79,79,5.6848E7,21,21,22,Carbamidomethylation,34651,Malate dehydrogenase OS=Trichoplusia ni OX=7111 GN=LOC113495992 PE=3 SV=1
92,13351,A0A7E5VRR1,328.34,76,76,5.6848E7,21,21,22,Carbamidomethylation,36322,Malate dehydrogenase OS=Trichoplusia ni OX=7111 GN=LOC113495992 PE=3 SV=1
22,86,A0A7E5X3W7,328.30,58,58,7.6645E7,38,38,41,Carbamidomethylation,90950,97 kDa heat shock protein isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113508321 PE=3 SV=1
