Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 3,Area Sample 3,#Peptides,#Unique,#Spec Sample 3,PTM,Avg. Mass,Description
1,53539,Pr55(Gag),515.82,78,78,3.3151E10,143,143,269,Carbamidomethylation; Oxidation (M),55930,Pr55(Gag)
3,9,A0A7E5VJS8,506.60,55,55,5.7842E8,125,125,132,Carbamidomethylation,327712,protein 4.1 homolog isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
3,10,A0A7E5VJS5,506.60,55,55,5.7842E8,125,125,132,Carbamidomethylation,328227,protein 4.1 homolog isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494423 PE=4 SV=1
6,5,A0A7E5VKL6,479.23,57,57,3.6023E8,113,113,116,Carbamidomethylation,279169,spectrin alpha chain isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113494614 PE=3 SV=1
5,23,A0A7E5X0H7,464.68,38,38,4.4632E5,129,1,131,Carbamidomethylation,471110,spectrin beta chain  non-erythrocytic 1 isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
4,22,A0A7E5WZP3,464.15,38,38,7.5935E3,129,1,131,Carbamidomethylation,471182,spectrin beta chain  non-erythrocytic 1 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113507246 PE=3 SV=1
2,53540,P03452,448.25,61,61,1.0829E10,83,83,167,Carbamidomethylation; Oxidation (M),63353,Hemagglutinin OS=Influenza A virus (strain A/Puerto Rico/8/1934 H1N1) OX=211044 GN=HA PE=1 SV=2
7,32,A0A7E5W0P0,440.92,47,47,1.8044E8,81,81,85,Carbamidomethylation,256130,fatty acid synthase isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113498344 PE=4 SV=1
13,15,A0A7E5VPW8,415.86,38,38,6.2043E7,61,61,62,Carbamidomethylation,265083,Spectrin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113495669 PE=3 SV=1
15,2,A0A7E5WSW3,402.26,71,71,5.7188E8,54,54,58,Carbamidomethylation,94606,translation elongation factor 2-like OS=Trichoplusia ni OX=7111 GN=LOC113505410 PE=3 SV=1
